Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
     -4.99000      0.05361      0.03398      0.01963
     -4.98000      0.11790      0.07473      0.04316
     -4.97000      0.12391      0.07855      0.04536
     -4.96000      0.13411      0.08501      0.04910
     -4.95000      0.20096      0.12743      0.07353
     -4.94000      0.28504      0.18066      0.10439
     -4.93000      0.36848      0.23294      0.13554
     -4.92000      0.34189      0.21595      0.12594
     -4.91000      0.23696      0.15018      0.08678
     -4.90000      0.20035      0.12747      0.07288
     -4.89000      0.21745      0.13826      0.07919
     -4.88000      0.30559      0.19320      0.11239
     -4.87000      0.50736      0.31928      0.18808
     -4.86000      0.58147      0.36656      0.21492
     -4.85000      0.47317      0.29889      0.17428
     -4.84000      0.43892      0.27646      0.16246
     -4.83000      0.46260      0.29063      0.17197
     -4.82000      0.43874      0.27579      0.16295
     -4.81000      0.37927      0.23885      0.14043
     -4.80000      0.37979      0.24018      0.13961
     -4.79000      0.38396      0.24335      0.14061
     -4.78000      0.40020      0.25175      0.14845
     -4.77000      0.54141      0.33693      0.20447
     -4.76000      0.70523      0.43531      0.26993
     -4.75000      0.75272      0.46358      0.28914
     -4.74000      0.75358      0.46286      0.29072
     -4.73000      0.78495      0.48027      0.30468
     -4.72000      0.73744      0.45455      0.28289
     -4.71000      0.69118      0.42726      0.26392
     -4.70000      0.67913      0.41546      0.26367
     -4.69000      0.68171      0.41330      0.26841
     -4.68000      0.67583      0.40429      0.27154
     -4.67000      0.65248      0.39205      0.26043
     -4.66000      0.65676      0.40148      0.25528
     -4.65000      0.66588      0.40619      0.25969
     -4.64000      0.78512      0.47758      0.30755
     -4.63000      0.97222      0.59760      0.37462
     -4.62000      1.10076      0.68448      0.41627
     -4.61000      1.03180      0.63333      0.39847
     -4.60000      0.92550      0.55607      0.36943
     -4.59000      0.93382      0.56390      0.36992
     -4.58000      0.99698      0.60941      0.38757
     -4.57000      1.08343      0.66817      0.41527
     -4.56000      1.26188      0.77679      0.48510
     -4.55000      1.37055      0.83785      0.53269
     -4.54000      1.17396      0.71214      0.46182
     -4.53000      0.89863      0.54431      0.35432
     -4.52000      0.69913      0.42669      0.27244
     -4.51000      0.74578      0.45688      0.28890
     -4.50000      1.01969      0.62514      0.39455
     -4.49000      1.32565      0.81571      0.50995
     -4.48000      1.49248      0.92611      0.56637
     -4.47000      1.45943      0.91199      0.54743
     -4.46000      1.33984      0.84213      0.49771
     -4.45000      1.30003      0.81705      0.48298
     -4.44000      1.53461      0.95412      0.58049
     -4.43000      1.87522      1.16523      0.70999
     -4.42000      2.10561      1.31125      0.79436
     -4.41000      2.00423      1.24322      0.76101
     -4.40000      1.72412      1.07386      0.65026
     -4.39000      1.46065      0.91347      0.54718
     -4.38000      1.26268      0.77951      0.48317
     -4.37000      1.35942      0.83034      0.52908
     -4.36000      1.46733      0.89452      0.57281
     -4.35000      1.41229      0.88107      0.53122
     -4.34000      1.56975      1.01280      0.55695
     -4.33000      1.81826      1.18065      0.63760
     -4.32000      1.80787      1.15835      0.64952
     -4.31000      1.62286      1.02324      0.59961
     -4.30000      1.36849      0.86557      0.50292
     -4.29000      1.34877      0.85396      0.49481
     -4.28000      1.64199      1.03236      0.60964
     -4.27000      1.89761      1.18596      0.71165
     -4.26000      2.05414      1.28122      0.77292
     -4.25000      1.94941      1.22003      0.72938
     -4.24000      1.79930      1.12959      0.66971
     -4.23000      1.80822      1.13093      0.67729
     -4.22000      1.72466      1.05005      0.67461
     -4.21000      1.81615      1.07053      0.74562
     -4.20000      2.18217      1.29391      0.88826
     -4.19000      2.26763      1.37144      0.89619
     -4.18000      1.84313      1.12353      0.71959
     -4.17000      1.62297      0.98356      0.63941
     -4.16000      1.60517      0.95149      0.65369
     -4.15000      1.69118      0.96599      0.72518
     -4.14000      1.75903      1.00177      0.75726
     -4.13000      1.75981      1.02180      0.73801
     -4.12000      1.94328      1.13945      0.80382
     -4.11000      2.08487      1.23408      0.85079
     -4.10000      2.17892      1.28680      0.89212
     -4.09000      2.24404      1.29780      0.94624
     -4.08000      2.26031      1.28020      0.98011
     -4.07000      2.66575      1.49998      1.16577
     -4.06000      3.07799      1.71070      1.36729
     -4.05000      2.73612      1.48971      1.24641
     -4.04000      2.17153      1.18247      0.98906
     -4.03000      2.16460      1.19642      0.96818
     -4.02000      2.49038      1.37321      1.11717
     -4.01000      2.49009      1.35018      1.13991
     -4.00000      2.23967      1.19538      1.04428
     -3.99000      2.24734      1.18898      1.05836
     -3.98000      2.22857      1.18151      1.04706
     -3.97000      1.95940      1.06438      0.89502
     -3.96000      1.80673      1.01575      0.79097
     -3.95000      1.83227      1.03579      0.79648
     -3.94000      1.75562      0.98068      0.77495
     -3.93000      1.57119      0.88346      0.68774
     -3.92000      1.52355      0.86501      0.65854
     -3.91000      1.56177      0.88647      0.67530
     -3.90000      1.43597      0.81609      0.61988
     -3.89000      1.35607      0.75523      0.60084
     -3.88000      1.39988      0.77330      0.62658
     -3.87000      1.38404      0.77609      0.60795
     -3.86000      1.24620      0.70910      0.53710
     -3.85000      1.06855      0.60491      0.46364
     -3.84000      1.00994      0.56995      0.43999
     -3.83000      1.03576      0.59786      0.43789
     -3.82000      0.94970      0.55034      0.39937
     -3.81000      0.83343      0.47380      0.35962
     -3.80000      0.89270      0.50164      0.39106
     -3.79000      0.91871      0.51907      0.39964
     -3.78000      0.76458      0.44543      0.31915
     -3.77000      0.67373      0.40025      0.27347
     -3.76000      0.68297      0.40266      0.28030
     -3.75000      0.85256      0.50393      0.34863
     -3.74000      1.16667      0.68785      0.47882
     -3.73000      1.23961      0.71766      0.52196
     -3.72000      0.89893      0.51828      0.38065
     -3.71000      0.51398      0.30983      0.20415
     -3.70000      0.37584      0.24062      0.13522
     -3.69000      0.37216      0.23996      0.13221
     -3.68000      0.50167      0.31900      0.18268
     -3.67000      0.57708      0.36396      0.21312
     -3.66000      0.46945      0.28869      0.18076
     -3.65000      0.44818      0.25836      0.18981
     -3.64000      0.55429      0.31478      0.23951
     -3.63000      0.56842      0.32845      0.23997
     -3.62000      0.49147      0.29262      0.19885
     -3.61000      0.53786      0.33472      0.20313
     -3.60000      0.66929      0.41503      0.25426
     -3.59000      0.74134      0.44689      0.29445
     -3.58000      0.74392      0.44223      0.30169
     -3.57000      0.74473      0.44112      0.30361
     -3.56000      0.59556      0.35385      0.24171
     -3.55000      0.40068      0.22909      0.17159
     -3.54000      0.47643      0.25127      0.22516
     -3.53000      0.72008      0.39023      0.32985
     -3.52000      0.81416      0.45626      0.35790
     -3.51000      0.78402      0.45053      0.33349
     -3.50000      0.90106      0.51953      0.38153
     -3.49000      0.88380      0.50901      0.37479
     -3.48000      0.69119      0.40586      0.28533
     -3.47000      0.63618      0.37050      0.26568
     -3.46000      0.72148      0.41130      0.31018
     -3.45000      0.71493      0.40829      0.30664
     -3.44000      0.77627      0.44260      0.33367
     -3.43000      1.04059      0.59062      0.44997
     -3.42000      0.96012      0.55086      0.40926
     -3.41000      0.63145      0.37244      0.25901
     -3.40000      0.60172      0.36299      0.23874
     -3.39000      0.68414      0.40136      0.28278
     -3.38000      0.64777      0.36073      0.28704
     -3.37000      0.55901      0.30851      0.25050
     -3.36000      0.51683      0.29451      0.22233
     -3.35000      0.49195      0.27731      0.21464
     -3.34000      0.64412      0.33548      0.30864
     -3.33000      0.89141      0.45041      0.44101
     -3.32000      1.03888      0.53300      0.50588
     -3.31000      1.04750      0.54504      0.50246
     -3.30000      0.94473      0.49997      0.44476
     -3.29000      1.09811      0.59524      0.50287
     -3.28000      1.17815      0.64486      0.53329
     -3.27000      0.81619      0.45093      0.36526
     -3.26000      0.57104      0.32091      0.25013
     -3.25000      0.77234      0.42563      0.34671
     -3.24000      0.95616      0.51131      0.44485
     -3.23000      0.83438      0.43639      0.39799
     -3.22000      0.80962      0.42866      0.38096
     -3.21000      1.04312      0.57397      0.46915
     -3.20000      1.19369      0.65809      0.53559
     -3.19000      1.12784      0.60990      0.51795
     -3.18000      1.06359      0.57096      0.49263
     -3.17000      1.04090      0.54508      0.49582
     -3.16000      0.93236      0.47651      0.45585
     -3.15000      0.74815      0.38586      0.36229
     -3.14000      0.66454      0.33839      0.32614
     -3.13000      0.69805      0.34913      0.34892
     -3.12000      0.66651      0.33112      0.33539
     -3.11000      0.51873      0.24995      0.26878
     -3.10000      0.43490      0.20983      0.22507
     -3.09000      0.49584      0.25160      0.24424
     -3.08000      0.79080      0.39374      0.39706
     -3.07000      1.35189      0.67850      0.67338
     -3.06000      1.57415      0.82609      0.74806
     -3.05000      1.19388      0.65218      0.54170
