Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al Sb 
     -5.07052      0.00000      0.00000      0.00000
     -5.06052      0.00000      0.00000      0.00000
     -5.05052      0.00000      0.00000      0.00000
     -5.04052      0.00000      0.00000      0.00000
     -5.03052      0.00000      0.00000      0.00000
     -5.02052      0.00000      0.00000      0.00000
     -5.01052      0.00000      0.00000      0.00000
     -5.00052      0.00000      0.00000      0.00000
     -4.99052      0.00000      0.00000      0.00000
     -4.98052      0.00000      0.00000      0.00000
     -4.97052      0.00000      0.00000      0.00000
     -4.96052      0.00000      0.00000      0.00000
     -4.95052      0.00000      0.00000      0.00000
     -4.94052      0.00000      0.00000      0.00000
     -4.93052      0.00000      0.00000      0.00000
     -4.92052      0.00000      0.00000      0.00000
     -4.91052      0.00000      0.00000      0.00000
     -4.90052      0.00000      0.00000      0.00000
     -4.89052      0.00000      0.00000      0.00000
     -4.88052      0.00000      0.00000      0.00000
     -4.87052      0.00000      0.00000      0.00000
     -4.86052      0.00000      0.00000      0.00000
     -4.85052      0.00000      0.00000      0.00000
     -4.84052      0.00000      0.00000      0.00000
     -4.83052      0.00000      0.00000      0.00000
     -4.82052      0.00000      0.00000      0.00000
     -4.81052      0.00000      0.00000      0.00000
     -4.80052      0.00002      0.00000      0.00000
     -4.79052      0.00061      0.00000      0.00000
     -4.78052      0.00813      0.00000      0.00000
     -4.77052      0.04084      0.00000      0.00000
     -4.76052      0.08054      0.00000      0.00000
     -4.75052      0.08821      0.00000      0.00000
     -4.74052      0.12530      0.00000      0.00000
     -4.73052      0.15303      0.00000      0.00000
     -4.72052      0.11784      0.00000      0.00000
     -4.71052      0.13340      0.00000      0.00000
     -4.70052      0.21677      0.00000      0.00000
     -4.69052      0.38299      0.00000      0.00000
     -4.68052      0.56299      0.00000      0.00000
     -4.67052      0.59736      0.00000      0.00000
     -4.66052      0.69476      0.00000      0.00000
     -4.65052      0.83193      0.00000      0.00000
     -4.64052      0.91801      0.00000      0.00000
     -4.63052      0.93130      0.00000      0.00000
     -4.62052      0.80298      0.00000      0.00000
     -4.61052      0.79441      0.00000      0.00000
     -4.60052      1.02849      0.00000      0.00000
     -4.59052      1.35887      0.00000      0.00000
     -4.58052      1.50677      0.00000      0.00000
     -4.57052      1.48531      0.00000      0.00000
     -4.56052      1.57093      0.00000      0.00000
     -4.55052      1.56159      0.00000      0.00000
     -4.54052      1.31801      0.00000      0.00000
     -4.53052      1.22887      0.00000      0.00000
     -4.52052      1.33672      0.00000      0.00000
     -4.51052      1.44518      0.00000      0.00000
     -4.50052      1.59849      0.00000      0.00000
     -4.49052      2.08499      0.00000      0.00000
     -4.48052      2.54613      0.00000      0.00000
     -4.47052      2.34116      0.00000      0.00000
     -4.46052      1.73661      0.00000      0.00000
     -4.45052      1.55376      0.00000      0.00000
     -4.44052      1.88035      0.00000      0.00000
     -4.43052      2.05828      0.00000      0.00000
     -4.42052      1.97174      0.00000      0.00000
     -4.41052      2.22253      0.00000      0.00000
     -4.40052      2.76947      0.00000      0.00000
     -4.39052      3.22641      0.00000      0.00000
     -4.38052      3.41836      0.00000      0.00000
     -4.37052      3.25593      0.00000      0.00000
     -4.36052      2.96381      0.00000      0.00000
     -4.35052      3.10714      0.00000      0.00000
     -4.34052      3.31758      0.00000      0.00000
