Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Zn O  
   -156.83644     11.84472      9.32578      2.51895
   -156.82644     10.17598      7.80343      2.37256
   -156.81644      9.74976      7.31326      2.43650
   -156.80644     10.86569      8.30025      2.56544
   -156.79644     12.11279      9.36556      2.74723
   -156.78644     11.86839      9.18393      2.68446
   -156.77644     10.65847      8.20213      2.45634
   -156.76644      9.92369      7.60600      2.31769
   -156.75644      9.24651      7.11593      2.13058
   -156.74644      8.25016      6.38463      1.86553
   -156.73644      8.55962      6.61852      1.94111
   -156.72644      9.36521      7.20851      2.15670
   -156.71644      9.11928      7.01559      2.10368
   -156.70644      9.25282      7.10896      2.14386
   -156.69644      9.72599      7.42829      2.29770
   -156.68644      9.53781      7.29103      2.24678
   -156.67644      8.85670      6.83261      2.02409
   -156.66644      8.08632      6.27631      1.81001
   -156.65644      7.59240      5.86404      1.72836
   -156.64644      7.36621      5.66170      1.70451
   -156.63644      7.39583      5.73379      1.66204
   -156.62644      7.51607      5.84805      1.66802
   -156.61644      7.79767      5.99117      1.80650
   -156.60644      8.05993      6.13034      1.92959
   -156.59644      7.38548      5.61524      1.77024
   -156.58644      6.83791      5.21782      1.62009
   -156.57644      6.73765      5.16908      1.56857
   -156.56644      6.25361      4.82310      1.43051
   -156.55644      5.75402      4.45314      1.30088
   -156.54644      5.73684      4.45575      1.28109
   -156.53644      6.13498      4.76503      1.36994
   -156.52644      6.19611      4.82515      1.37096
   -156.51644      5.93432      4.62920      1.30512
   -156.50644      5.66786      4.39861      1.26925
   -156.49644      4.82716      3.72747      1.09969
   -156.48644      3.73759      2.85215      0.88545
   -156.47644      4.15582      3.13733      1.01849
   -156.46644      5.41241      4.07970      1.33271
   -156.45644      5.57212      4.16229      1.40983
   -156.44644      4.48923      3.23075      1.25848
   -156.43644      3.21928      2.15551      1.06377
   -156.42644      3.55063      2.49484      1.05580
   -156.41644      4.86457      3.66216      1.20241
   -156.40644      5.09697      3.91265      1.18433
   -156.39644      4.52952      3.46918      1.06034
   -156.38644      4.15244      3.15811      0.99433
   -156.37644      4.02011      3.00494      1.01517
   -156.36644      3.91356      2.87248      1.04108
   -156.35644      3.43574      2.52311      0.91263
   -156.34644      3.23942      2.41654      0.82288
   -156.33644      3.46583      2.62464      0.84118
   -156.32644      3.31621      2.49830      0.81791
   -156.31644      2.89431      2.14631      0.74800
   -156.30644      2.85913      2.11276      0.74637
   -156.29644      3.14393      2.34346      0.80048
   -156.28644      3.30128      2.45830      0.84298
   -156.27644      3.17268      2.34275      0.82993
   -156.26644      2.97957      2.22728      0.75229
   -156.25644      2.79808      2.14936      0.64872
   -156.24644      2.65916      2.05531      0.60385
   -156.23644      2.41394      1.84235      0.57159
   -156.22644      2.49593      1.87642      0.61951
   -156.21644      3.08644      2.30072      0.78572
   -156.20644      3.25945      2.40932      0.85013
   -156.19644      2.50090      1.84115      0.65975
   -156.18644      1.95554      1.47997      0.47557
   -156.17644      1.91406      1.48896      0.42510
   -156.16644      1.88857      1.45866      0.42992
   -156.15644      2.02703      1.52956      0.49746
   -156.14644      1.92910      1.42898      0.50011
   -156.13644      1.51149      1.11147      0.40002
   -156.12644      1.27643      0.94901      0.32742
   -156.11644      1.28638      0.96800      0.31838
   -156.10644      1.39372      1.03936      0.35436
   -156.09644      1.47222      1.07771      0.39451
   -156.08644      1.62578      1.18642      0.43936
   -156.07644      1.88409      1.39749      0.48659
   -156.06644      2.12037      1.58858      0.53179
   -156.05644      2.10986      1.56982      0.54004
   -156.04644      1.86271      1.38232      0.48039
   -156.03644      1.66869      1.24130      0.42739
   -156.02644      1.63680      1.20907      0.42772
   -156.01644      1.71123      1.23565      0.47558
   -156.00644      1.66948      1.18538      0.48410
   -155.99644      1.36565      0.96947      0.39618
   -155.98644      1.18042      0.84642      0.33400
   -155.97644      1.20076      0.87209      0.32866
   -155.96644      1.21681      0.88331      0.33350
   -155.95644      1.24132      0.90286      0.33846
   -155.94644      1.23606      0.89731      0.33875
   -155.93644      0.71335      0.47806      0.23529
   -155.92644     -0.36061     -0.35837     -0.00224
   -155.91644     -0.46193     -0.41121     -0.05072
   -155.90644      0.37909      0.27115      0.10794
   -155.89644      0.77531      0.59193      0.18337
   -155.88644      0.73041      0.56121      0.16920
   -155.87644      0.66387      0.50280      0.16107
   -155.86644      0.85380      0.63691      0.21689
   -155.85644      1.02080      0.74641      0.27439
   -155.84644      0.58079      0.37654      0.20425
   -155.83644     -0.26829     -0.28937      0.02108
   -155.82644     -0.20585     -0.21902      0.01317
